Order_ID,Order_Date,Year,Quarter,Customer_Name,Customer_Segment,State,Region,Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Status
ORD-1069,07-12-2023,2023,Q4,Vertex Architecture,SMB,Texas,South,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1070,08-12-2023,2023,Q4,BlueWave Systems,Mid-Market,California,West,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1071,14-12-2023,2023,Q4,Synergize Partners,SMB,New York,East,Accessories,Mechanical Custom Keyboard,3,135,405,180,225,Completed
ORD-1072,16-12-2023,2023,Q4,Horizon Global Tech,Enterprise,Texas,South,Hardware,"34"" Curved 4K Monitor",9,750,6750,4320,2430,Completed
ORD-1073,18-12-2023,2023,Q4,Zenith Cloud Corp,Enterprise,Illinois,Central,Hardware,Thunderbolt 4 Quad Dock,11,280,3080,1760,1320,Completed
ORD-1074,23-12-2023,2023,Q4,Zenith Cloud Corp,Enterprise,Texas,South,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1075,25-12-2023,2023,Q4,Apex Innovations Ltd,Enterprise,New York,East,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1076,27-12-2023,2023,Q4,Kinetic Energy Corp,Enterprise,Washington,West,Hardware,"ProBook Ultra 16"" Laptop",1,1850,1850,1300,550,Completed
ORD-1077,29-12-2023,2023,Q4,Elevate Retail Group,Enterprise,California,West,Office Gear,Heavy-Duty Dual Monitor Arm,12,145,1740,900,840,Completed
ORD-1078,01-01-2024,2024,Q1,Apex Innovations Ltd,Enterprise,California,West,Software,Enterprise Analytics Cloud,5,2400,12000,3000,9000,Completed
ORD-1079,02-01-2024,2024,Q1,Elevate Retail Group,Enterprise,California,West,Hardware,"ProBook Ultra 16"" Laptop",6,1850,11100,7800,3300,Completed
ORD-1080,07-01-2024,2024,Q1,Kinetic Energy Corp,Enterprise,California,West,Software,Enterprise Analytics Cloud,1,2400,2400,600,1800,Completed
ORD-1081,08-01-2024,2024,Q1,Kinetic Energy Corp,Enterprise,Massachusetts,East,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1082,18-01-2024,2024,Q1,Studio Core Media,Mid-Market,California,West,Hardware,Thunderbolt 4 Quad Dock,3,280,840,480,360,Completed
ORD-1083,20-01-2024,2024,Q1,Nova Dynamics,Mid-Market,Washington,West,Software,Team Productivity Suite,3,450,1350,270,1080,Completed
ORD-1084,24-01-2024,2024,Q1,Horizon Global Tech,Enterprise,Texas,South,Software,Cloud Security Pro,2,120,240,50,190,Completed
ORD-1085,24-01-2024,2024,Q1,Horizon Global Tech,Enterprise,California,West,Software,Cloud Security Pro,3,120,360,75,285,Completed
ORD-1086,25-01-2024,2024,Q1,Horizon Global Tech,Enterprise,New York,East,Hardware,"34"" Curved 4K Monitor",9,750,6750,4320,2430,Completed
ORD-1087,29-01-2024,2024,Q1,BlueWave Systems,Mid-Market,North Carolina,East,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1088,01-02-2024,2024,Q1,Kinetic Energy Corp,Enterprise,Illinois,Central,Software,Cloud Security Pro,12,120,1440,300,1140,Completed
ORD-1089,05-02-2024,2024,Q1,Zenith Cloud Corp,Enterprise,New York,East,Hardware,"34"" Curved 4K Monitor",10,750,7500,4800,2700,Completed
ORD-1090,06-02-2024,2024,Q1,CloudScale Inc,SMB,Texas,South,Software,Team Productivity Suite,1,450,450,90,360,Completed
ORD-1091,09-02-2024,2024,Q1,Matrix Robotics,Mid-Market,Texas,South,Software,Cloud Security Pro,5,120,600,125,475,Cancelled
ORD-1092,23-02-2024,2024,Q1,BlueWave Systems,Mid-Market,Washington,West,Hardware,"34"" Curved 4K Monitor",7,750,5250,3360,1890,Completed
ORD-1093,26-02-2024,2024,Q1,Vanguard Legal,Enterprise,Massachusetts,East,Office Gear,ErgoMax Standing Desk,7,650,4550,2520,2030,Completed
ORD-1094,29-02-2024,2024,Q1,Vanguard Legal,Enterprise,New York,East,Software,Enterprise Analytics Cloud,5,2400,12000,3000,9000,Completed
ORD-1095,01-03-2024,2024,Q1,CloudScale Inc,SMB,Illinois,Central,Accessories,Wireless Noise-Cancelling Headset,5,180,900,400,500,Completed
ORD-1096,01-03-2024,2024,Q1,Pulse Marketing,Mid-Market,New York,East,Software,Cloud Security Pro,7,120,840,175,665,Completed
ORD-1097,03-03-2024,2024,Q1,Zenith Cloud Corp,Enterprise,Massachusetts,East,Software,Enterprise Analytics Cloud,6,2400,14400,3600,10800,Completed
ORD-1098,06-03-2024,2024,Q1,Omnia Consulting,SMB,New York,East,Software,Team Productivity Suite,2,450,900,180,720,Completed
ORD-1099,10-03-2024,2024,Q1,Matrix Robotics,Mid-Market,New York,East,Software,Team Productivity Suite,6,450,2700,540,2160,Completed
ORD-1100,21-03-2024,2024,Q1,Zenith Cloud Corp,Enterprise,Texas,South,Office Gear,Premium Mesh Ergo Chair,3,420,1260,690,570,Completed
ORD-1101,25-03-2024,2024,Q1,Matrix Robotics,Mid-Market,Colorado,West,Software,Team Productivity Suite,8,450,3600,720,2880,Completed
ORD-1102,26-03-2024,2024,Q1,Elevate Retail Group,Enterprise,Washington,West,Hardware,Thunderbolt 4 Quad Dock,5,280,1400,800,600,Completed
ORD-1103,27-03-2024,2024,Q1,Quantum Digital,SMB,Illinois,Central,Office Gear,Premium Mesh Ergo Chair,2,420,840,460,380,Completed
ORD-1104,30-03-2024,2024,Q1,Horizon Global Tech,Enterprise,Colorado,West,Hardware,"34"" Curved 4K Monitor",10,750,7500,4800,2700,Completed
ORD-1105,31-03-2024,2024,Q1,Vanguard Legal,Enterprise,New York,East,Software,Team Productivity Suite,10,450,4500,900,3600,Completed
ORD-1106,31-03-2024,2024,Q1,Synergize Partners,SMB,Florida,South,Accessories,Mechanical Custom Keyboard,5,135,675,300,375,Completed
ORD-1107,06-04-2024,2024,Q2,Matrix Robotics,Mid-Market,California,West,Hardware,"34"" Curved 4K Monitor",2,750,1500,960,540,Completed
ORD-1108,10-04-2024,2024,Q2,Matrix Robotics,Mid-Market,Massachusetts,East,Office Gear,Heavy-Duty Dual Monitor Arm,2,145,290,150,140,Completed
ORD-1109,13-04-2024,2024,Q2,Horizon Global Tech,Enterprise,Massachusetts,East,Software,Cloud Security Pro,3,120,360,75,285,Completed
ORD-1110,14-04-2024,2024,Q2,Pulse Marketing,Mid-Market,Florida,South,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1111,16-04-2024,2024,Q2,Zenith Cloud Corp,Enterprise,New York,East,Software,Team Productivity Suite,7,450,3150,630,2520,Completed
ORD-1112,16-04-2024,2024,Q2,Nova Dynamics,Mid-Market,Washington,West,Office Gear,Premium Mesh Ergo Chair,7,420,2940,1610,1330,Completed
ORD-1113,22-04-2024,2024,Q2,Horizon Global Tech,Enterprise,Massachusetts,East,Hardware,Thunderbolt 4 Quad Dock,2,280,560,320,240,Completed
ORD-1114,30-04-2024,2024,Q2,Kinetic Energy Corp,Enterprise,Florida,South,Software,Team Productivity Suite,2,450,900,180,720,Completed
ORD-1115,09-05-2024,2024,Q2,Zenith Cloud Corp,Enterprise,Texas,South,Software,Team Productivity Suite,6,450,2700,540,2160,Completed
ORD-1116,28-05-2024,2024,Q2,CloudScale Inc,SMB,New York,East,Office Gear,ErgoMax Standing Desk,5,650,3250,1800,1450,Completed
ORD-1117,01-06-2024,2024,Q2,Pulse Marketing,Mid-Market,North Carolina,East,Software,Cloud Security Pro,6,120,720,150,570,Completed
ORD-1118,06-06-2024,2024,Q2,Pulse Marketing,Mid-Market,New York,East,Hardware,"34"" Curved 4K Monitor",8,750,6000,3840,2160,Completed
ORD-1119,07-06-2024,2024,Q2,Vertex Architecture,SMB,California,West,Software,Cloud Security Pro,1,120,120,25,95,Completed
ORD-1120,10-06-2024,2024,Q2,BlueWave Systems,Mid-Market,Texas,South,Accessories,Precision Ergonomic Mouse,8,65,520,224,296,Completed
ORD-1121,15-06-2024,2024,Q2,Studio Core Media,Mid-Market,Georgia,South,Office Gear,Premium Mesh Ergo Chair,4,420,1680,920,760,Completed
ORD-1122,19-06-2024,2024,Q2,Nexa Logistics,Mid-Market,California,West,Office Gear,Heavy-Duty Dual Monitor Arm,5,145,725,375,350,Completed
ORD-1123,20-06-2024,2024,Q2,Horizon Global Tech,Enterprise,Washington,West,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1124,22-06-2024,2024,Q2,Horizon Global Tech,Enterprise,New York,East,Hardware,Thunderbolt 4 Quad Dock,4,280,1120,640,480,Completed
ORD-1125,25-06-2024,2024,Q2,Omnia Consulting,SMB,Texas,South,Accessories,Mechanical Custom Keyboard,2,135,270,120,150,Cancelled
ORD-1126,25-06-2024,2024,Q2,Zenith Cloud Corp,Enterprise,Washington,West,Hardware,"ProBook Ultra 16"" Laptop",1,1850,1850,1300,550,Completed
ORD-1127,27-06-2024,2024,Q2,Matrix Robotics,Mid-Market,Texas,South,Software,Team Productivity Suite,8,450,3600,720,2880,Completed
ORD-1128,27-06-2024,2024,Q2,Studio Core Media,Mid-Market,Colorado,West,Hardware,"34"" Curved 4K Monitor",5,750,3750,2400,1350,Completed
ORD-1129,28-06-2024,2024,Q2,Matrix Robotics,Mid-Market,California,West,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1130,28-06-2024,2024,Q2,CloudScale Inc,SMB,California,West,Hardware,Thunderbolt 4 Quad Dock,1,280,280,160,120,Completed
ORD-1131,28-06-2024,2024,Q2,Zenith Cloud Corp,Enterprise,Florida,South,Software,Cloud Security Pro,12,120,1440,300,1140,Completed
ORD-1132,30-06-2024,2024,Q2,Apex Innovations Ltd,Enterprise,Texas,South,Software,Enterprise Analytics Cloud,4,2400,9600,2400,7200,Completed
ORD-1133,02-07-2024,2024,Q3,Apex Innovations Ltd,Enterprise,California,West,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1134,05-07-2024,2024,Q3,Kinetic Energy Corp,Enterprise,Colorado,West,Office Gear,ErgoMax Standing Desk,6,650,3900,2160,1740,Completed
ORD-1135,08-07-2024,2024,Q3,Nova Dynamics,Mid-Market,California,West,Software,Enterprise Analytics Cloud,2,2400,4800,1200,3600,Completed
ORD-1136,09-07-2024,2024,Q3,Nexa Logistics,Mid-Market,North Carolina,East,Software,Team Productivity Suite,4,450,1800,360,1440,Completed
ORD-1137,10-07-2024,2024,Q3,Quantum Digital,SMB,California,West,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1138,10-07-2024,2024,Q3,Horizon Global Tech,Enterprise,California,West,Software,Enterprise Analytics Cloud,5,2400,12000,3000,9000,Completed
ORD-1139,11-07-2024,2024,Q3,Kinetic Energy Corp,Enterprise,Washington,West,Office Gear,ErgoMax Standing Desk,4,650,2600,1440,1160,Completed
ORD-1140,15-07-2024,2024,Q3,Studio Core Media,Mid-Market,Massachusetts,East,Hardware,Thunderbolt 4 Quad Dock,3,280,840,480,360,Completed
ORD-1141,21-07-2024,2024,Q3,Alpha BioLabs,SMB,Texas,South,Accessories,Mechanical Custom Keyboard,2,135,270,120,150,Completed
ORD-1142,22-07-2024,2024,Q3,Nexa Logistics,Mid-Market,California,West,Hardware,"ProBook Ultra 16"" Laptop",2,1850,3700,2600,1100,Completed
ORD-1143,23-07-2024,2024,Q3,Quantum Digital,SMB,New York,East,Software,Cloud Security Pro,4,120,480,100,380,Completed
ORD-1144,27-07-2024,2024,Q3,Kinetic Energy Corp,Enterprise,Florida,South,Software,Enterprise Analytics Cloud,1,2400,2400,600,1800,Completed
ORD-1145,29-07-2024,2024,Q3,Synergize Partners,SMB,New York,East,Office Gear,Heavy-Duty Dual Monitor Arm,3,145,435,225,210,Completed
ORD-1146,05-08-2024,2024,Q3,Nova Dynamics,Mid-Market,Texas,South,Software,Team Productivity Suite,7,450,3150,630,2520,Completed
ORD-1147,07-08-2024,2024,Q3,Horizon Global Tech,Enterprise,California,West,Office Gear,Premium Mesh Ergo Chair,2,420,840,460,380,Completed
ORD-1148,07-08-2024,2024,Q3,Vanguard Legal,Enterprise,New York,East,Software,Cloud Security Pro,9,120,1080,225,855,Completed
ORD-1149,07-08-2024,2024,Q3,Nexa Logistics,Mid-Market,Texas,South,Software,Team Productivity Suite,8,450,3600,720,2880,Completed
ORD-1150,08-08-2024,2024,Q3,Alpha BioLabs,SMB,California,West,Software,Cloud Security Pro,1,120,120,25,95,Completed
ORD-1151,09-08-2024,2024,Q3,Synergize Partners,SMB,California,West,Accessories,Mechanical Custom Keyboard,5,135,675,300,375,Completed
ORD-1152,09-08-2024,2024,Q3,Nexa Logistics,Mid-Market,Colorado,West,Software,Cloud Security Pro,7,120,840,175,665,Completed
ORD-1153,12-08-2024,2024,Q3,Studio Core Media,Mid-Market,Florida,South,Office Gear,Heavy-Duty Dual Monitor Arm,3,145,435,225,210,Cancelled
ORD-1154,14-08-2024,2024,Q3,Studio Core Media,Mid-Market,Georgia,South,Hardware,Thunderbolt 4 Quad Dock,5,280,1400,800,600,Completed
ORD-1155,24-08-2024,2024,Q3,Apex Innovations Ltd,Enterprise,Texas,South,Office Gear,Premium Mesh Ergo Chair,3,420,1260,690,570,Completed
ORD-1156,27-08-2024,2024,Q3,Kinetic Energy Corp,Enterprise,Texas,South,Software,Enterprise Analytics Cloud,2,2400,4800,1200,3600,Completed
ORD-1157,31-08-2024,2024,Q3,Nova Dynamics,Mid-Market,California,West,Hardware,"ProBook Ultra 16"" Laptop",4,1850,7400,5200,2200,Completed
ORD-1158,01-09-2024,2024,Q3,Zenith Cloud Corp,Enterprise,New York,East,Software,Cloud Security Pro,4,120,480,100,380,Completed
ORD-1159,02-09-2024,2024,Q3,Elevate Retail Group,Enterprise,California,West,Hardware,"34"" Curved 4K Monitor",9,750,6750,4320,2430,Cancelled
ORD-1160,02-09-2024,2024,Q3,Zenith Cloud Corp,Enterprise,Illinois,Central,Hardware,"34"" Curved 4K Monitor",6,750,4500,2880,1620,Completed
ORD-1161,03-09-2024,2024,Q3,Horizon Global Tech,Enterprise,Washington,West,Hardware,Thunderbolt 4 Quad Dock,12,280,3360,1920,1440,Completed
ORD-1162,07-09-2024,2024,Q3,Vertex Architecture,SMB,California,West,Office Gear,Premium Mesh Ergo Chair,4,420,1680,920,760,Completed
ORD-1163,13-09-2024,2024,Q3,Synergize Partners,SMB,New York,East,Accessories,Precision Ergonomic Mouse,5,65,325,140,185,Completed
ORD-1164,18-09-2024,2024,Q3,Zenith Cloud Corp,Enterprise,Washington,West,Hardware,"34"" Curved 4K Monitor",12,750,9000,5760,3240,Completed
ORD-1165,18-09-2024,2024,Q3,Vanguard Legal,Enterprise,Texas,South,Software,Cloud Security Pro,5,120,600,125,475,Completed
ORD-1166,20-09-2024,2024,Q3,Kinetic Energy Corp,Enterprise,New York,East,Software,Team Productivity Suite,6,450,2700,540,2160,Completed
ORD-1167,06-10-2024,2024,Q4,Studio Core Media,Mid-Market,Texas,South,Software,Team Productivity Suite,2,450,900,180,720,Completed
ORD-1168,11-10-2024,2024,Q4,Horizon Global Tech,Enterprise,California,West,Hardware,Thunderbolt 4 Quad Dock,9,280,2520,1440,1080,Completed
ORD-1169,11-10-2024,2024,Q4,Vertex Architecture,SMB,California,West,Accessories,Wireless Noise-Cancelling Headset,4,180,720,320,400,Completed
ORD-1170,16-10-2024,2024,Q4,Vertex Architecture,SMB,Florida,South,Hardware,Thunderbolt 4 Quad Dock,5,280,1400,800,600,Completed
ORD-1171,16-10-2024,2024,Q4,Pulse Marketing,Mid-Market,Illinois,Central,Office Gear,ErgoMax Standing Desk,3,650,1950,1080,870,Cancelled
ORD-1172,19-10-2024,2024,Q4,CloudScale Inc,SMB,Texas,South,Accessories,Wireless Noise-Cancelling Headset,1,180,180,80,100,Completed
ORD-1173,22-10-2024,2024,Q4,Matrix Robotics,Mid-Market,Texas,South,Hardware,"ProBook Ultra 16"" Laptop",3,1850,5550,3900,1650,Completed
ORD-1174,25-10-2024,2024,Q4,Matrix Robotics,Mid-Market,New York,East,Accessories,Precision Ergonomic Mouse,3,65,195,84,111,Completed
ORD-1175,30-10-2024,2024,Q4,Nexa Logistics,Mid-Market,Georgia,South,Software,Enterprise Analytics Cloud,2,2400,4800,1200,3600,Completed
ORD-1176,02-11-2024,2024,Q4,Elevate Retail Group,Enterprise,Florida,South,Software,Enterprise Analytics Cloud,5,2400,12000,3000,9000,Completed
ORD-1177,13-11-2024,2024,Q4,Nexa Logistics,Mid-Market,North Carolina,East,Hardware,Thunderbolt 4 Quad Dock,5,280,1400,800,600,Completed
ORD-1178,14-11-2024,2024,Q4,Nexa Logistics,Mid-Market,California,West,Office Gear,Premium Mesh Ergo Chair,4,420,1680,920,760,Completed
ORD-1179,16-11-2024,2024,Q4,Nova Dynamics,Mid-Market,Illinois,Central,Software,Cloud Security Pro,8,120,960,200,760,Completed
ORD-1180,16-11-2024,2024,Q4,Nexa Logistics,Mid-Market,California,West,Software,Team Productivity Suite,8,450,3600,720,2880,Completed
